dam,capcity,year_completed_original,year_completed,age,river,province,locale,longitude,latitude,wall_height,surface
Engelhard Dam,,~1975,1975,42,Letaba River,Limpopo,"Letaba camp, Kruger National Park",31.6375,-23.8416666666667,,
Erfenis Dam,"207,500
",1960,1960,57,Groot-Vet River,Free State,Theunissen,26.7772222222222,-28.5108333333333,46,32.821
Fika-Patso Dam,28000,1987,1987,30,Namahadi River,Free State,Phuthaditjhaba,28.675,-28.8525,65,1.585
Flag Boshielo Dam,"185,100
",1987,1987,30,Olifants River,Limpopo,Marble Hall,29.4277777777778,-24.7833333333333,36,12.877
Floriskraal Dam,50334,1957,1957,60,Buffels River,Western Cape,Laingsburg,20.985,-33.2916666666667,33,7.592
Gamkapoort Dam,37213,1969,1969,48,Gamka River,Western Cape,Prince Albert,21.6433333333333,-33.3002777777778,42,6.015
Gariep Dam (Hendrik Verwoerd Dam),"5,340,600
",1971,1971,46,Orange River,Free State,Norvalspont,25.5161111111111,-30.625,88,352.162
Glen Alpine Dam,"18,900
",1968,1968,49,Mogalakwena River,Limpopo,Mokopane,28.6847222222222,-23.1916666666667,28,4.613
Goedertrouw Dam,"301,300[17]",1982,1982,35,Mhlatuze River,KZN,Eshowe,31.4294444444444,-28.7644444444444,88,11.939
Grassridge Dam,46200,1924,1924,93,Great Brak River,Eastern Cape,Hofmeyer,25.4669444444444,-31.7583333333333,24,14.145
Groendal Dam,12100,1934,1934,83,Swartkops River,Eastern Cape,Uitenhage,25.2730555555556,-33.7002777777778,51,0.96
Greater Brandvlei Dam,474046,1989,1989,28,Breede River,Western Cape,Worcester,19.4627777777778,-33.7002777777778,18,41.122
Grootdraai Dam,"349,500
[N][11]",1981,1981,36,Vaal River,Mpumalanga,Standerton,29.2836111111111,-26.9191666666667,42,38.813
Hartbeespoort Dam,"186,400
[N][14]",1925,1925,92,Crocodile River,North West,Brits,27.8597222222222,-25.725,59,20.652
Hazelmere Dam,17858,1977,1977,40,Mdloti River,KZN,Hazelmere,31.0416666666667,-29.6002777777778,50,1.813
Hely-Hutchinson Dam,927[4],1904,1904,113,Disa River,Western Cape,Cape Town,18.4077777777778,-33.9772222222222,,36
Heyshope Dam,"451,300
[N][11]",1983,1983,34,Assegaai River,Mpumalanga,Piet Retief,30.5305555555556,-26.9958333333333,29,50.238
Holo Hlahatse Dam,,,,,Hlatimnyama and Mhlangeni Rivers,Eastern Cape,Jozana's Hoek,27.3630555555556,-30.6438888888889,,
Impofu Dam,"105,800
[N][7]",1982,1982,35,Krom River,Eastern Cape,Humansdorp,24.6836111111111,-34.0958333333333,75,6.35
Inanda Dam,"241,700
",1989,1989,28,Umgeni River,KZN,Hillcrest,30.8669444444444,-29.7002777777778,65,14.633
Injaka Dam (also spelled Inyaka),"123,700
[N][11]",2002,2002,15,Marite River,Mpumalanga,Hazyview,31.0986111111111,-24.8861111111111,53,8.111
Jericho Dam,59500,1966,1966,51,Mpama River,Mpumalanga,Amsterdam,30.4861111111111,-26.6541666666667,22,9.825
J.L. de Bruin Dam,21000,1982,1982,35,Klein Buffel River,Eastern Cape,Burgersdorp,26.6236111111111,-31.0288888888889,,
Kalkfontein Dam,"325,100
",1938,1938,79,Riet River,Free State,Koffiefontein,25.2222222222222,-29.4958333333333,36,37.697
